Tiempo (s),Flujo de neutrones (n),pos_nuc (%),pos_BC1 (%),pos_BC2 (%)
0.15,1414.4173,100,0,0
0.151,1414.5005,100,0,0
0.152,1414.5836,100,0,0
0.153,1414.6665,100,0,0
0.154,1414.7494,100,0,0
0.155,1414.8321,100,0,0
0.156,1414.9147,100,0,0
0.157,1414.9972,100,0,0
0.158,1415.0796,100,0,0
0.159,1415.1618,100,0,0
0.16,1428.2334,100,0,0
0.161,1463.965,100,0,0
0.162,1510.0732,100,0,0
0.163,1583.3932,100,0,0
0.164,1683.47,100,0,0
0.165,1809.9664,100,0,0
0.166,1975.6224,100,0,0
0.167,2228.8929,100,0,0
0.168,2482.4558,100,0,0
0.169,2716.7671,100,0,0
0.17,2969.2335,100,0,0
0.171,3209.2514,100,0,0
0.172,3401.0475,100,0,0
0.173,3543.9665,100,0,0
0.174,3650.5069,100,0,0
0.175,3729.9712,100,0,0
0.176,3789.283,100,0,0
0.177,3833.5955,100,0,0
0.178,3866.7441,100,0,0
0.179,3891.5834,100,0,0
0.18,3910.238,100,0,0
0.181,3924.2892,100,0,0
0.182,3934.9139,100,0,0
0.183,3942.9883,100,0,0
0.184,3949.1641,100,0,0
0.185,3953.9268,100,0,0
0.186,3957.6374,100,0,0
0.187,3960.5647,100,0,0
0.188,3962.9089,100,0,0
0.189,3964.8189,100,0,0
0.19,3966.4054,100,0,0
0.191,3967.751,100,0,0
0.192,3968.917,100,0,0
0.193,3969.9493,100,0,0
0.194,3970.8816,100,0,0
0.195,3971.7395,100,0,0
0.196,3972.5417,100,0,0
0.197,3973.3022,100,0,0
0.198,3974.0316,100,0,0
0.199,3974.7375,100,0,0
0.2,3975.4257,100,0,0
0.201,3976.1006,100,0,0
0.202,3976.7654,100,0,0
0.203,3977.4223,100,0,0
0.204,3978.0733,100,0,0
0.205,3978.7197,100,0,0
0.206,3979.3623,100,0,0
0.207,3980.0021,100,0,0
0.208,3980.6394,100,0,0
0.209,3981.2747,100,0,0
0.21,3981.9084,100,0,0
0.211,3982.5405,100,0,0
0.212,3983.1714,100,0,0
0.213,3983.8012,100,0,0
0.214,3984.4298,100,0,0
0.215,3985.0575,100,0,0
0.216,3985.6842,100,0,0
0.217,3986.3101,100,0,0
0.218,3986.935,100,0,0
0.219,3987.5591,100,0,0
0.22,3988.1824,100,0,0
0.221,3988.8048,100,0,0
0.222,3989.4265,100,0,0
0.223,3990.0473,100,0,0
0.224,3990.6673,100,0,0
0.225,3991.2866,100,0,0
0.226,3991.9051,100,0,0
0.227,3992.5228,100,0,0
0.228,3993.1397,100,0,0
0.229,3993.7559,100,0,0
0.23,3994.3712,100,0,0
0.231,3994.9859,100,0,0
0.232,3995.5997,100,0,0
0.233,3996.2128,100,0,0
0.234,3996.8252,100,0,0
0.235,3997.4367,100,0,0
0.236,3998.0476,100,0,0
0.237,3998.6576,100,0,0
0.238,3999.267,100,0,0
0.239,3999.8755,100,0,0
0.24,4000.4834,100,0,0
0.241,4001.0904,100,0,0
0.242,4001.6968,100,0,0
0.243,4002.3024,100,0,0
0.244,4002.9072,100,0,0
0.245,4003.5114,100,0,0
0.246,4004.1147,100,0,0
0.247,4004.7174,100,0,0
0.248,4005.3193,100,0,0
0.249,4005.9205,100,0,0
0.25,4029.2226,100,7,0
0.251,4089.5872,100,20,0
0.252,4216.7957,100,44,0
0.253,4411.6618,100,71,0
0.254,4669.1544,100,98,0
0.255,4887.4451,100,100,0
0.256,5066.0368,100,100,0
0.257,5212.1985,100,100,0
0.258,5331.8682,100,100,0
0.259,5429.8966,100,100,0
0.26,5510.2461,100,100,0
0.261,5576.1535,100,100,0
0.262,5630.2631,100,100,0
0.263,5674.7349,100,100,0
0.264,5711.3333,100,100,0
0.265,5741.4998,100,100,0
0.266,5766.4118,100,100,0
0.267,5787.0311,100,100,0
0.268,5804.1435,100,100,0
0.269,5818.3908,100,100,0
0.27,5830.2974,100,100,0
0.271,5840.2915,100,100,0
0.272,5848.7231,100,100,0
0.273,5855.878,100,100,0
0.274,5861.9896,100,100,0
0.275,5867.2487,100,100,0
0.276,5871.8111,100,100,0
0.277,5875.8041,100,100,0
0.278,5879.3316,100,100,0
0.279,5882.4786,100,100,0
0.28,5885.3145,100,100,0
0.281,5887.8959,100,100,0
0.282,5890.2691,100,100,0
0.283,5892.4721,100,100,0
0.284,5894.5355,100,100,0
0.285,5896.4848,100,100,0
0.286,5898.3405,100,100,0
0.287,5900.1195,100,100,0
0.288,5901.8355,100,100,0
0.289,5903.4998,100,100,0
0.29,5905.1216,100,100,0
0.291,5906.7083,100,100,0
0.292,5908.2661,100,100,0
0.293,5909.8,100,100,0
0.294,5911.3141,100,100,0
0.295,5912.8118,100,100,0
0.296,5914.2957,100,100,0
0.297,5915.7681,100,100,0
0.298,5917.2309,100,100,0
0.299,5918.6854,100,100,0
0.3,5920.133,100,100,0
0.301,5921.5747,100,100,0
0.302,5923.0112,100,100,0
0.303,5924.4431,100,100,0
0.304,5925.8712,100,100,0
0.305,5927.2958,100,100,0
0.306,5928.7172,100,100,0
0.307,5930.1358,100,100,0
0.308,5931.5518,100,100,0
0.309,5932.9654,100,100,0
0.31,5934.3768,100,100,0
0.311,5935.7861,100,100,0
0.312,5937.1934,100,100,0
0.313,5938.5989,100,100,0
0.314,5940.0025,100,100,0
0.315,5941.4044,100,100,0
0.316,5942.8046,100,100,0
0.317,5944.2032,100,100,0
0.318,5945.6001,100,100,0
0.319,5946.9954,100,100,0
0.32,5948.3892,100,100,0
0.321,5949.7815,100,100,0
0.322,5951.1722,100,100,0
0.323,5952.5614,100,100,0
0.324,5953.9491,100,100,0
0.325,5955.3353,100,100,0
0.326,5956.7201,100,100,0
0.327,5958.1034,100,100,0
0.328,5959.4852,100,100,0
0.329,5960.8656,100,100,0
0.33,5962.2445,100,100,0
0.331,5963.622,100,100,0
0.332,5964.9981,100,100,0
0.333,5966.3727,100,100,0
0.334,5987.924,100,100,4
0.335,6041.4553,100,100,11
0.336,6142.7653,100,100,22
0.337,6307.1715,100,100,37
0.338,6501.5052,100,100,47
0.339,6834.5895,100,100,76
0.34,7275.1317,100,100,100
0.341,7670.6311,100,100,100
0.342,8025.7531,100,100,100
0.343,8344.6796,100,100,100
0.344,8631.1592,100,100,100
0.345,8888.5526,100,100,100
0.346,9119.8721,100,100,100
0.347,9327.818,100,100,100
0.348,9514.811,100,100,100
0.349,9683.0209,100,100,100
0.35,9834.3929,100,100,100
0.351,9970.6707,100,100,100
0.352,10093.4173,100,100,100
0.353,10204.0337,100,100,100
0.354,10303.7761,100,100,100
0.355,10393.7703,100,100,100
0.356,10475.0256,100,100,100
0.357,10548.4467,100,100,100
0.358,10614.8446,100,100,100
0.359,10674.9463,100,100,100
0.36,10729.4036,100,100,100
0.361,10778.8007,100,100,100
0.362,10823.6611,100,100,100
0.363,10864.4545,100,100,100
0.364,10901.6015,100,100,100
0.365,10935.4795,100,100,100
0.366,10966.4265,100,100,100
0.367,10994.7458,100,100,100
0.368,11020.709,100,100,100
0.369,11044.5597,100,100,100
0.37,11066.5162,100,100,100
0.371,11086.7744,100,100,100
0.372,11105.5097,100,100,100
0.373,11122.8793,100,100,100
0.374,11139.0244,100,100,100
0.375,11154.0711,100,100,100
0.376,11168.133,100,100,100
0.377,11181.3114,100,100,100
0.378,11193.6976,100,100,100
0.379,11205.373,100,100,100
0.38,11216.4109,100,100,100
0.381,11226.8769,100,100,100
0.382,11236.8298,100,100,100
0.383,11246.3221,100,100,100
0.384,11255.4013,100,100,100
0.385,11264.1097,100,100,100
0.386,11272.4852,100,100,100
0.387,11280.5618,100,100,100
0.388,11288.3701,100,100,100
0.389,11295.9375,100,100,100
0.39,11303.2884,100,100,100
0.391,11310.4448,100,100,100
0.392,11317.4265,100,100,100
0.393,11324.2511,100,100,100
0.394,11330.9345,100,100,100
0.395,11337.4908,100,100,100
0.396,11343.9328,100,100,100
0.397,11350.2718,100,100,100
0.398,11356.5182,100,100,100
0.399,11362.6811,100,100,100
0.4,11368.7686,100,100,100
0.401,11374.7883,100,100,100
0.402,11380.7467,100,100,100
0.403,11386.6496,100,100,100
0.404,11392.5026,100,100,100
0.405,11398.3102,100,100,100
0.406,11404.0767,100,100,100
0.407,11409.8061,100,100,100
0.408,11415.5018,100,100,100
0.409,11421.1667,100,100,100
0.41,11426.8037,100,100,100
0.411,11432.4153,100,100,100
0.412,11438.0037,100,100,100
0.413,11443.5708,100,100,100
0.414,11449.1185,100,100,100
0.415,11454.6483,100,100,100
0.416,11460.1618,100,100,100
0.417,11465.6601,100,100,100
0.418,11471.1446,100,100,100
0.419,11476.616,100,100,100
0.42,11482.0756,100,100,100
0.421,11487.5239,100,100,100
0.422,11492.9619,100,100,100
0.423,11498.3902,100,100,100
0.424,11503.8093,100,100,100
0.425,11509.2199,100,100,100
0.426,11514.6225,100,100,100
0.427,11520.0174,100,100,100
0.428,11525.405,100,100,100
0.429,11530.7858,100,100,100
0.43,11536.16,100,100,100
0.431,11541.5279,100,100,100
0.432,11546.8898,100,100,100
0.433,11552.2459,100,100,100
0.434,11557.5964,100,100,100
0.435,11562.9416,100,100,100
0.436,11568.2815,100,100,100
0.437,11573.6163,100,100,100
0.438,11578.9463,100,100,100
0.439,11584.2714,100,100,100
0.44,11589.5919,100,100,100
0.441,11594.9077,100,100,100
0.442,11600.2191,100,100,100
0.443,11605.5261,100,100,100
0.444,11610.8287,100,100,100
0.445,11616.1271,100,100,100
0.446,11621.4213,100,100,100
0.447,11626.7114,100,100,100
0.448,11631.9973,100,100,100
0.449,11637.2793,100,100,100
0.45,11642.5572,100,100,100
0.451,11647.8312,100,100,100
0.452,11653.1013,100,100,100
0.453,11658.3675,100,100,100
0.454,11663.6299,100,100,100
0.455,11668.8885,100,100,100
0.456,11674.1432,100,100,100
0.457,11679.3942,100,100,100
0.458,11684.6415,100,100,100
0.459,11689.885,100,100,100
0.46,11695.1249,100,100,100
0.461,11700.3611,100,100,100
0.462,11705.5936,100,100,100
0.463,11710.8225,100,100,100
0.464,11716.0478,100,100,100
0.465,11721.2694,100,100,100
0.466,11726.4875,100,100,100
0.467,11731.702,100,100,100
0.468,11736.913,100,100,100
0.469,11742.1204,100,100,100
0.47,11747.3242,100,100,100
0.471,11752.5246,100,100,100
0.472,11757.7214,100,100,100
0.473,11762.9148,100,100,100
0.474,11768.1046,100,100,100
0.475,11773.291,100,100,100
0.476,11778.4739,100,100,100
0.477,11783.6534,100,100,100
0.478,11788.8294,100,100,100
0.479,11794.002,100,100,100
