Tiempo (s),Posicion (x),Velocidad (v),m,b,k
16.24,0.0001,-0.0011,1.0,3.05,5.0
16.26,0.0,-0.001,1.0,3.05,5.0
16.28,0.0,-0.001,1.0,3.05,5.0
16.3,0.0,-0.0009,1.0,3.05,5.0
16.32,-0.0,-0.0008,1.0,3.05,5.0
16.34,-0.0,-0.0008,1.0,3.05,5.0
16.36,-0.0,-0.0007,1.0,3.05,5.0
16.38,-0.0001,-0.0007,1.0,3.05,5.0
16.4,-0.0001,-0.0006,1.0,3.05,5.0
16.42,-0.0001,-0.0006,1.0,3.05,5.0
16.44,-0.0001,-0.0006,1.0,3.05,5.0
16.46,-0.0001,-0.0005,1.0,3.05,5.0
16.48,-0.0001,-0.0005,1.0,3.05,5.0
16.5,-0.0001,-0.0004,1.0,3.05,5.0
16.52,-0.0001,-0.0004,1.0,3.05,5.0
16.54,-0.0001,-0.0004,1.0,3.05,5.0
16.56,-0.0001,-0.0003,1.0,3.05,5.0
16.58,-0.0001,-0.0003,1.0,3.05,5.0
16.6,-0.0002,-0.0003,1.0,3.05,5.0
16.62,-0.0002,-0.0002,1.0,3.05,5.0
16.64,-0.0002,-0.0002,1.0,3.05,5.0
16.66,-0.0002,-0.0002,1.0,3.05,5.0
16.68,-0.0002,-0.0001,1.0,3.05,5.0
16.7,-0.0002,-0.0001,1.0,3.05,5.0
16.72,-0.0002,-0.0001,1.0,3.05,5.0
16.74,-0.0002,-0.0001,1.0,3.05,5.0
16.76,-0.0002,-0.0,1.0,3.05,5.0
16.78,-0.0002,-0.0,1.0,3.05,5.0
16.8,-0.0002,-0.0,1.0,3.05,5.0
16.82,-0.0002,0.0,1.0,3.05,5.0
16.84,-0.0002,0.0,1.0,3.05,5.0
16.86,-0.0002,0.0,1.0,3.05,5.0
16.88,-0.0002,0.0001,1.0,3.05,5.0
