Tiempo (t),Posicion (x),Velocidad (v)
0.05,2.996704097630452,-0.12360864366867771
0.1,2.9883141334646117,-0.20650817957605413
0.15000000000000002,2.97650126200581,-0.26238030184099115
0.2,2.96237190631337,-0.30040280075581977
0.25,2.9466559021177234,-0.3266622378378915
0.3,2.929834091483002,-0.34517228601394007
0.35,2.9122233132349264,-0.3585744732691629
0.39999999999999997,2.8940324649987224,-0.3686080752070828
0.44999999999999996,2.8753993104020137,-0.37642071631143875
0.49999999999999994,2.8564146083764217,-0.38277213502093566
0.5499999999999999,2.837137941114668,-0.3881674250595547
0.6,2.817608115799394,-0.3929441049592038
0.65,2.7978500191064453,-0.3973290815288956
0.7000000000000001,2.7778791487076178,-0.4014760029105033
0.7500000000000001,2.7577046193921277,-0.4054898279927806
