# t_min t_max tau A
0.00 25.00 23.084548 4.024583
2.00 27.00 17.631302 3.118305
4.00 29.00 17.235451 3.039622
6.00 31.00 16.992828 2.986215
8.00 33.00 16.826836 2.946024
10.00 35.00 16.709635 2.915117
12.00 37.00 16.625236 2.891074
14.00 39.00 16.563442 2.872179
16.00 41.00 16.517537 2.857192
18.00 43.00 16.482998 2.845203
20.00 45.00 16.456723 2.835543
22.00 47.00 16.436547 2.827710
24.00 49.00 16.420930 2.821327
26.00 51.00 16.408762 2.816103
28.00 53.00 16.399228 2.811813
30.00 55.00 16.391723 2.808282
32.00 57.00 16.385792 2.805369
34.00 59.00 16.381089 2.802963
36.00 61.00 16.377351 2.800973
38.00 63.00 16.374373 2.799326
40.00 65.00 16.371995 2.797961
42.00 67.00 16.370093 2.796831
44.00 69.00 16.368570 2.795893
46.00 71.00 16.367348 2.795116
48.00 73.00 16.366366 2.794471
50.00 75.00 16.365576 2.793936
52.00 77.00 16.364940 2.793492
54.00 79.00 16.364427 2.793124
56.00 81.00 16.364013 2.792817
58.00 83.00 16.363678 2.792563
60.00 85.00 16.363407 2.792351
62.00 87.00 16.363188 2.792175
64.00 89.00 16.363009 2.792028
66.00 91.00 16.362865 2.791906
68.00 93.00 16.362747 2.791804
70.00 95.00 16.362651 2.791719
72.00 97.00 16.362573 2.791648
74.00 99.00 16.362509 2.791589
76.00 101.00 16.362456 2.791540
78.00 103.00 16.362413 2.791498
80.00 105.00 16.362378 2.791463
82.00 107.00 16.362349 2.791434
84.00 109.00 16.362325 2.791409
86.00 111.00 16.362305 2.791388
88.00 113.00 16.362289 2.791371
90.00 115.00 16.362276 2.791356
92.00 117.00 16.362264 2.791344
94.00 119.00 16.362255 2.791333
96.00 121.00 16.362247 2.791324
98.00 123.00 16.362241 2.791317
100.00 125.00 16.362236 2.791310
102.00 127.00 16.362231 2.791305
104.00 129.00 16.362227 2.791300
106.00 131.00 16.362224 2.791296
108.00 133.00 16.362222 2.791293
110.00 135.00 16.362219 2.791290
112.00 137.00 16.362218 2.791288
114.00 139.00 16.362216 2.791286
116.00 141.00 16.362215 2.791284
118.00 143.00 16.362214 2.791282
120.00 145.00 16.362213 2.791281
122.00 147.00 16.362212 2.791280
124.00 149.00 16.362211 2.791279
126.00 151.00 16.362211 2.791278
128.00 153.00 16.362210 2.791277
130.00 155.00 16.362210 2.791277
132.00 157.00 16.362209 2.791276
134.00 159.00 16.362209 2.791276
136.00 161.00 16.362209 2.791275
138.00 163.00 16.362209 2.791275
140.00 165.00 16.362208 2.791275
142.00 167.00 16.362208 2.791274
144.00 169.00 16.362208 2.791274
146.00 171.00 16.362208 2.791274
148.00 173.00 16.362208 2.791274
150.00 175.00 16.362208 2.791274
152.00 177.00 16.362208 2.791273
154.00 179.00 16.362208 2.791273
156.00 181.00 16.362208 2.791273
158.00 183.00 16.362208 2.791273
160.00 185.00 16.362208 2.791273
162.00 187.00 16.362207 2.791273
164.00 189.00 16.362207 2.791273
166.00 191.00 16.362207 2.791273
168.00 193.00 16.362207 2.791273
170.00 195.00 16.362207 2.791273
172.00 197.00 16.362207 2.791273
174.00 199.00 16.362207 2.791273
176.00 201.00 16.362207 2.791273
178.00 203.00 16.362207 2.791273
180.00 205.00 16.362207 2.791273
182.00 207.00 16.362207 2.791273
184.00 209.00 16.362207 2.791273
186.00 211.00 16.362207 2.791273
188.00 213.00 16.362207 2.791273
190.00 215.00 16.362207 2.791273
192.00 217.00 16.362207 2.791273
194.00 219.00 16.362207 2.791273
196.00 221.00 16.362207 2.791273
198.00 223.00 16.362207 2.791273
200.00 225.00 16.362207 2.791273
202.00 227.00 16.362207 2.791273
204.00 229.00 16.362207 2.791273
206.00 231.00 16.362207 2.791273
208.00 233.00 16.362207 2.791273
210.00 235.00 16.362207 2.791273
212.00 237.00 16.362207 2.791273
214.00 239.00 16.362207 2.791273
216.00 241.00 16.362207 2.791273
218.00 243.00 16.362207 2.791273
220.00 245.00 16.362207 2.791273
222.00 247.00 16.362207 2.791273
224.00 249.00 16.362207 2.791273
