# t_min t_max tau A
0.00 25.00 100.494697 3.803578
2.00 27.00 30.034617 2.530276
4.00 29.00 28.285772 2.435050
6.00 31.00 27.248927 2.368984
8.00 33.00 26.545578 2.317910
10.00 35.00 26.047735 2.277561
12.00 37.00 25.685699 2.245304
14.00 39.00 25.416632 2.219245
16.00 41.00 25.212939 2.197981
18.00 43.00 25.056275 2.180470
20.00 45.00 24.934147 2.165931
22.00 47.00 24.837856 2.153776
24.00 49.00 24.761205 2.143554
26.00 51.00 24.699703 2.134917
28.00 53.00 24.650020 2.127589
30.00 55.00 24.609675 2.121356
32.00 57.00 24.576758 2.116040
34.00 59.00 24.549801 2.111498
36.00 61.00 24.527653 2.107612
38.00 63.00 24.509407 2.104283
40.00 65.00 24.494342 2.101430
42.00 67.00 24.481875 2.098982
44.00 69.00 24.471542 2.096881
46.00 71.00 24.462963 2.095077
48.00 73.00 24.455827 2.093528
50.00 75.00 24.449885 2.092196
52.00 77.00 24.444929 2.091050
54.00 79.00 24.440789 2.090065
56.00 81.00 24.437326 2.089217
58.00 83.00 24.434426 2.088486
60.00 85.00 24.431993 2.087856
62.00 87.00 24.429949 2.087313
64.00 89.00 24.428231 2.086844
66.00 91.00 24.426782 2.086439
68.00 93.00 24.425559 2.086088
70.00 95.00 24.424525 2.085785
72.00 97.00 24.423650 2.085522
74.00 99.00 24.422907 2.085293
76.00 101.00 24.422276 2.085095
78.00 103.00 24.421739 2.084922
80.00 105.00 24.421281 2.084772
82.00 107.00 24.420889 2.084640
84.00 109.00 24.420554 2.084526
86.00 111.00 24.420267 2.084426
88.00 113.00 24.420021 2.084338
90.00 115.00 24.419808 2.084261
92.00 117.00 24.419626 2.084193
94.00 119.00 24.419468 2.084133
96.00 121.00 24.419331 2.084081
98.00 123.00 24.419212 2.084035
100.00 125.00 24.419109 2.083994
102.00 127.00 24.419020 2.083957
104.00 129.00 24.418942 2.083925
106.00 131.00 24.418873 2.083897
108.00 133.00 24.418814 2.083871
110.00 135.00 24.418762 2.083849
112.00 137.00 24.418716 2.083829
114.00 139.00 24.418676 2.083811
116.00 141.00 24.418641 2.083795
118.00 143.00 24.418610 2.083780
120.00 145.00 24.418582 2.083768
122.00 147.00 24.418558 2.083756
124.00 149.00 24.418537 2.083746
126.00 151.00 24.418518 2.083737
128.00 153.00 24.418501 2.083728
130.00 155.00 24.418487 2.083721
132.00 157.00 24.418474 2.083714
134.00 159.00 24.418462 2.083708
136.00 161.00 24.418452 2.083703
138.00 163.00 24.418442 2.083698
140.00 165.00 24.418434 2.083694
142.00 167.00 24.418427 2.083690
144.00 169.00 24.418421 2.083686
146.00 171.00 24.418415 2.083683
148.00 173.00 24.418410 2.083680
150.00 175.00 24.418405 2.083678
152.00 177.00 24.418401 2.083675
154.00 179.00 24.418398 2.083673
156.00 181.00 24.418394 2.083671
158.00 183.00 24.418391 2.083669
160.00 185.00 24.418389 2.083668
162.00 187.00 24.418387 2.083666
164.00 189.00 24.418385 2.083665
166.00 191.00 24.418383 2.083664
168.00 193.00 24.418381 2.083663
170.00 195.00 24.418380 2.083662
172.00 197.00 24.418378 2.083661
174.00 199.00 24.418377 2.083660
176.00 201.00 24.418376 2.083660
178.00 203.00 24.418375 2.083659
180.00 205.00 24.418374 2.083659
182.00 207.00 24.418373 2.083658
184.00 209.00 24.418373 2.083658
186.00 211.00 24.418372 2.083657
188.00 213.00 24.418372 2.083657
190.00 215.00 24.418371 2.083656
192.00 217.00 24.418371 2.083656
194.00 219.00 24.418370 2.083656
196.00 221.00 24.418370 2.083656
198.00 223.00 24.418370 2.083655
200.00 225.00 24.418369 2.083655
202.00 227.00 24.418369 2.083655
204.00 229.00 24.418369 2.083655
206.00 231.00 24.418369 2.083655
208.00 233.00 24.418369 2.083654
210.00 235.00 24.418368 2.083654
212.00 237.00 24.418368 2.083654
214.00 239.00 24.418368 2.083654
216.00 241.00 24.418368 2.083654
218.00 243.00 24.418368 2.083654
220.00 245.00 24.418368 2.083654
222.00 247.00 24.418368 2.083654
224.00 249.00 24.418368 2.083654
